pid,Geographic region,Gender,Age,Education level,Race,Citizen of the US,Marital status,Religion,Religious attendance,Political affiliation,Income,Political views,Household size,Employment status,score_extraversion,score_agreeableness,wave1_score_conscientiousness,score_openness,score_neuroticism,score_needforcognition,score_agency,score_communion,score_minimalism,score_BES,score_GREEN,crt2_score,score_fluid,score_crystallized,score_syllogism_merged,score_actual_total,score_overconfidence,score_overplacement,score_ultimatum_sender,score_ultimatum_accepted,score_mentalaccounting,score_socialdesirability,wave2_score_conscientiousness,score_anxiety,score_HI,score_HC,score_VI,score_VC,score_finliteracy,score_numeracy,score_deductive_certainty,score_forwardflow,score_discount,score_presentbias,score_riskaversion,score_lossaversion,score_trustgame_sender,score_trustgame_receiver,score_RFS,score_ST-TW,score_depression,score_CNFU-S,score_selfmonitor,score_SCC,score_needforclosure,score_maximization,score_wason,score_dictator_sender,score_extraversion_pct,score_agreeableness_pct,wave1_score_conscientiousness_pct,score_openness_pct,score_neuroticism_pct,score_needforcognition_pct,score_agency_pct,score_communion_pct,score_minimalism_pct,score_BES_pct,score_GREEN_pct,crt2_score_pct,score_fluid_pct,score_crystallized_pct,score_syllogism_merged_pct,score_actual_total_pct,score_overconfidence_pct,score_overplacement_pct,score_ultimatum_sender_pct,score_ultimatum_accepted_pct,score_mentalaccounting_pct,score_socialdesirability_pct,wave2_score_conscientiousness_pct,score_anxiety_pct,score_HI_pct,score_HC_pct,score_VI_pct,score_VC_pct,score_finliteracy_pct,score_numeracy_pct,score_deductive_certainty_pct,score_forwardflow_pct,score_discount_pct,score_presentbias_pct,score_riskaversion_pct,score_lossaversion_pct,score_trustgame_sender_pct,score_trustgame_receiver_pct,score_RFS_pct,score_ST-TW_pct,score_depression_pct,score_CNFU-S_pct,score_selfmonitor_pct,score_SCC_pct,score_needforclosure_pct,score_maximization_pct,score_wason_pct,score_dictator_sender_pct,name
1356,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,Associate's degree,White,Yes,Never been married,Agnostic,Never,Democrat,"Less than $30,000",Liberal,1,Unemployed,2.75,3.444,2.889,3.5,2.75,3.5,6.417,7.25,2.833,3.8,3.667,3.0,3.0,8.0,10.0,24.0,14.0,8.0,20.0,83.333,75.0,6.0,2.0,8.0,3.75,3.75,2.75,3.0,6.0,8.0,4.0,0.876,41.841,0.074,0.044,0.683,80.0,67.0,4.3,7.0,14.0,2.25,2.385,3.083,3.533,3.667,2.0,40.0,47,27,12,36,56,53,85,59,23,44,52,88,88,82,92,94,62,83,10,70,70,58,8,56,25,45,55,22,91,100,100,92.0,60.0,74.0,42.0,32.0,81,97,19,10,69,43,22,33,50,81,65,81,Olivia
1592,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",Black,Yes,Separated,Other,Once or twice a month,Democrat,"Less than $30,000",Moderate,2,Unemployed,2.875,4.444,4.333,4.1,1.75,2.778,5.5,7.833,3.167,3.65,3.0,0.0,2.0,1.0,4.0,7.0,13.0,0.0,40.0,83.333,75.0,12.0,6.0,4.0,3.5,4.75,1.75,4.25,2.0,0.0,4.0,0.887,1258092.815,-0.181,0.389,,20.0,37.0,4.3,9.0,4.0,2.583,2.538,4.0,2.467,2.833,2.0,40.0,52,78,67,69,21,22,70,80,37,35,31,12,71,4,11,2,56,41,65,70,70,97,36,38,17,91,17,74,5,1,100,97.0,90.0,1.0,85.0,,25,37,19,29,32,57,33,61,7,34,65,81,Harper
331,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,Associate's degree,White,Yes,Married,Roman Catholic,A few times a year,Republican,"$75,000-$100,000",Conservative,2,Full-time employment,3.25,3.333,3.444,3.8,2.875,2.889,6.25,7.083,4.0,3.35,1.667,1.0,3.0,4.0,10.0,18.0,12.0,5.0,60.0,100.0,50.0,7.0,8.0,6.0,4.25,4.25,3.75,4.5,5.0,8.0,4.0,0.81,11.939,-0.01,0.128,1.306,100.0,32.0,5.2,17.0,4.0,2.833,3.385,2.417,2.467,2.833,4.0,20.0,67,22,28,53,60,25,83,54,77,19,7,38,88,27,92,63,50,72,93,100,32,66,100,47,52,72,88,84,57,100,100,38.0,55.0,17.0,58.0,84.0,100,24,71,80,32,66,93,15,7,34,100,18,Isabella
1923,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,Hispanic,Yes,Married,Other,Once a week,Democrat,"$100,000 or more",Moderate,4,Full-time employment,4.0,4.778,4.667,3.8,1.375,3.667,4.0,6.833,3.833,4.35,4.167,3.0,4.0,8.0,7.0,22.0,8.0,0.0,60.0,100.0,100.0,12.0,8.0,0.0,2.75,4.0,2.75,4.0,6.0,8.0,4.0,0.784,0.0,0.0,0.083,,80.0,45.0,4.5,8.0,7.0,1.833,2.846,4.667,3.2,2.667,2.0,60.0,90,92,82,53,11,61,27,45,68,78,74,88,100,82,61,85,27,41,93,100,100,97,100,12,4,60,55,64,91,100,100,22.0,40.0,52.0,52.0,,81,66,29,18,45,28,58,86,30,26,65,97,Jason
1950,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,College graduate/some postgrad,White,Yes,Living with a partner,Atheist,Never,Democrat,"$75,000-$100,000",Very liberal,2,Retired,3.125,2.778,3.889,4.0,2.5,3.889,3.833,6.333,3.167,4.3,4.333,3.0,0.0,9.0,6.0,18.0,12.0,9.0,40.0,83.333,50.0,5.0,4.0,4.0,4.5,2.25,1.5,3.75,6.0,5.0,4.0,0.812,1.714,0.481,0.2,,40.0,42.0,5.2,16.0,5.0,2.333,2.769,2.833,4.067,3.667,2.0,40.0,62,7,47,64,47,72,21,29,37,76,81,88,26,100,49,63,50,85,65,70,32,48,19,38,67,3,11,50,91,47,100,40.0,45.0,99.0,68.0,,61,46,71,75,38,47,52,26,82,81,65,81,George
652,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,White,Yes,Married,Atheist,Never,Democrat,"$100,000 or more",Liberal,3,Full-time employment,2.625,4.222,3.778,2.6,2.125,2.944,3.917,6.0,4.0,3.8,3.833,2.0,0.0,5.0,7.0,14.0,9.0,3.0,40.0,100.0,100.0,3.0,8.0,8.0,4.0,3.5,1.75,3.0,4.0,4.0,4.0,0.817,0.0,0.0,0.033,0.898,80.0,74.0,4.3,13.0,12.0,2.083,3.077,2.083,2.867,3.0,3.0,40.0,42,68,41,6,32,27,24,19,77,44,59,59,26,37,61,35,31,55,65,100,100,31,100,56,40,32,17,22,31,33,100,44.0,40.0,52.0,41.0,59.0,81,98,19,62,64,38,76,8,16,45,96,81,Ella
568,"Pacific (HI, AK)",Female,50-64,College graduate/some postgrad,White,Yes,Divorced,Nothing in particular,Never,Democrat,"$50,000-$75,000",Liberal,2,Full-time employment,3.25,4.222,4.667,4.4,1.75,3.778,4.833,8.0,3.75,3.9,4.667,4.0,1.0,8.0,8.0,21.0,9.0,10.0,40.0,83.333,100.0,5.0,8.0,5.0,5.0,4.75,3.0,3.5,5.0,8.0,4.0,0.827,14.051,0.028,0.344,0.732,20.0,33.0,4.5,8.0,9.0,4.167,2.462,4.833,3.6,3.333,3.0,40.0,67,68,82,83,21,66,52,85,64,51,90,100,55,82,71,80,31,90,65,70,100,48,100,42,100,91,65,40,57,100,100,54.0,56.0,61.0,83.0,36.0,25,29,29,18,54,97,27,91,54,64,96,81,Avery
866,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,White,Yes,Widowed,Agnostic,Seldom,Democrat,"$50,000-$75,000",Liberal,1,Part-time employment,4.0,4.667,4.333,4.8,1.375,4.389,5.167,6.833,2.167,4.05,3.667,1.0,0.0,5.0,3.0,9.0,26.0,5.0,40.0,66.667,75.0,11.0,7.0,2.0,4.75,4.5,2.0,2.0,4.0,3.0,4.0,0.776,4717.879,0.0,0.158,,60.0,55.0,4.6,21.0,4.0,2.583,3.308,3.667,2.267,2.5,2.0,60.0,90,87,67,97,11,89,61,45,7,61,52,38,26,37,3,8,98,72,65,33,70,93,53,25,82,83,25,5,31,20,100,17.0,80.0,52.0,63.0,,77,89,35,97,32,57,91,50,5,18,65,97,Charlotte
299,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,Postgraduate,Black,Yes,Never been married,Protestant,A few times a year,Democrat,"Less than $30,000",Liberal,1,Retired,2.375,4.556,4.667,4.3,2.125,3.333,3.833,8.333,4.667,4.5,4.5,3.0,1.0,9.0,7.0,20.0,15.0,-2.0,40.0,66.667,75.0,10.0,8.0,4.0,4.5,4.75,1.25,3.75,4.0,3.0,4.0,0.804,14.051,0.076,-0.111,,40.0,32.0,4.7,22.0,11.0,2.167,2.846,4.417,3.933,2.833,3.0,40.0,33,84,82,78,32,46,21,91,95,86,86,88,55,100,61,74,67,29,65,33,70,88,100,38,67,91,6,50,31,20,100,33.0,56.0,75.0,15.0,,61,24,41,99,61,41,58,76,75,34,96,81,Edward
2013,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,White,Yes,Married,Nothing in particular,Never,Democrat,"$100,000 or more",Liberal,2,Full-time employment,2.375,4.222,4.111,4.1,3.0,3.444,4.083,7.917,2.5,3.95,4.167,1.0,1.0,5.0,4.0,11.0,19.0,2.0,60.0,83.333,100.0,8.0,7.0,7.0,3.75,3.25,2.5,4.0,5.0,4.0,4.0,0.85,0.0,0.0,0.094,0.953,60.0,45.0,4.6,15.0,4.0,2.75,2.538,3.75,3.4,3.0,3.0,40.0,33,68,58,69,64,50,30,82,14,55,74,38,55,37,11,17,87,49,93,70,100,74,53,52,25,22,45,64,57,33,100,77.0,40.0,52.0,53.0,64.0,77,66,35,71,32,64,33,53,42,45,96,81,Sophia
